"module name","license","repository"
"@babel/cli@7.11.6","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.11.0","MIT","https://github.com/babel/babel"
"@babel/core@7.11.6","MIT","https://github.com/babel/babel"
"@babel/generator@7.11.6","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-builder-binary-assignment-operator-visitor@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.10.5","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-define-map@7.10.5","MIT","https://github.com/babel/babel"
"@babel/helper-explode-assignable-expression@7.11.4","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.11.0","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.11.0","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-regex@7.10.5","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.11.4","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.11.0","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.11.0","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helpers@7.10.4","MIT","https://github.com/babel/babel"
"@babel/node@7.10.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.11.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-async-generator-functions@7.10.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-properties@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-dynamic-import@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-json-strings@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-logical-assignment-operators@7.11.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-nullish-coalescing-operator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-object-rest-spread@7.11.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-catch-binding@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-chaining@7.11.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-methods@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-unicode-property-regex@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-class-properties@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-top-level-await@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-to-generator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoped-functions@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoping@7.11.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.10.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.10.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.10.4","MIT","https://github.com/babel/babel"
